instrumentid,name,description
C-AAPL,Apple Inc.,"Apple Inc. is a multinational technology company headquartered in Cupertino, California, known for its innovative hardware, software, and services. Founded on April 1, 1976, by Steve Jobs, Steve Wozniak, and Ronald Wayne, Apple initially focused on personal computers but has since diversified its product lineup.

Key products include the iPhone, a leading smartphone that has revolutionized mobile technology; the iPad, a popular tablet; the Mac series of personal computers; and wearable technology such as the Apple Watch and AirPods. Apple also offers software solutions, including the macOS and iOS operating systems, iCloud services, and a suite of applications like Final Cut Pro and GarageBand.

Apple’s ecosystem is characterized by seamless integration across its devices and services, enhancing user experience and customer loyalty. The company has also made significant strides in digital services, with the App Store, Apple Music, Apple TV+, and Apple Arcade contributing to its revenue growth.

As of October 2023, Apple"
C-0009I0,Microsoft Corporation,"Microsoft Corporation, founded in 1975 by Bill Gates and Paul Allen, is a leading global technology company headquartered in Redmond, Washington. It is renowned for its software products, most notably the Windows operating system and the Microsoft Office suite, which includes applications such as Word, Excel, and PowerPoint. 

Over the years, Microsoft has diversified its offerings to include cloud computing services through Azure, which has become a major growth driver for the company. Additionally, Microsoft has made significant investments in artificial intelligence, gaming (with its Xbox console and related services), and hardware products like Surface tablets and accessories.

The company operates through various segments, including Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. Microsoft has also been active in acquiring companies to enhance its technology portfolio, such as LinkedIn in 2016 and GitHub in 2018.

With a strong emphasis on innovation and sustainability, Microsoft has committed to becoming carbon negative by 2030. The company is also recognized for its corporate"
C-02,Alphabet Inc.,
C-0006X,"Amazon.com, Inc.",
C-0010,UnitedHealth Group Incorporated,
C-01147,"Tesla, Inc.",
C-0008V8,Exxon Mobil Corporation,
C-0009V,Johnson & Johnson,
C-0011AL,JPMorgan Chase & Co.,
C-0R1I,NVIDIA Corporation,
C-0HN0,Berkshire Hathaway Inc.,
C-0009M1,The Procter & Gamble Company,
C-00129K,Chevron Corporation,
C-0038K1,Visa Inc.,
C-000966,"The Home Depot, Inc.",
C-0021R2,Nestlé S.A.,
C-0LCV,Taiwan Semiconductor Manufacturing Company Limited,
C-0Q1G,Eli Lilly and Company,
C-0R2Z,Mastercard Incorporated,
C-0000N,Bank of America Corporation,
C-0Q1N,Pfizer Inc.,
C-0QCV,AbbVie Inc.,
C-0106H,"Merck & Co., Inc.",
C-0149A,"Meta Platforms, Inc.","Meta Platforms, Inc. (formerly known as Facebook, Inc.) is a leading American technology company headquartered in Menlo Park, California. Founded in 2004 by Mark Zuckerberg, Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes, the company originally launched as a social networking platform. Over the years, it has expanded its operations significantly and now encompasses a diverse range of services and products.

As of October 2023, Meta's primary business segments include social media platforms such as Facebook, Instagram, and WhatsApp, which collectively boast billions of active users globally. The company generates substantial revenue primarily through advertising, leveraging its vast user data to offer targeted ad placements to businesses of all sizes.

In addition to its core social media operations, Meta has made significant investments in virtual reality (VR) and augmented reality (AR) technologies. This includes the Oculus brand of VR headsets and the development of the Metaverse, a conceptual virtual environment that aims to enhance social interactions"
C-0QOS,"PepsiCo, Inc.",
C-0QOK,Roche Holding AG,
C-000964,The Coca-Cola Company,
C-0044Z3,"Samsung Electronics Co., Ltd.",
C-0I47,Costco Wholesale Corporation,
C-0LOB,ASML Holding N.V.,
C-0R1W,Walmart Inc.,
C-0GQL,Broadcom Inc.,
C-0009U,McDonald's Corporation,
C-0R0H,Thermo Fisher Scientific Inc.,
C-AFZ30,AstraZeneca PLC,
C-0LN9,Shell plc,
C-006E,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",
C-0035K1,Novo Nordisk A/S,
C-000920,"Cisco Systems, Inc.",
C-0R2B,Danaher Corporation,
C-0LEA,Tencent Holdings Limited,
C-0004T3,Novartis AG,
C-0001XK5,Abbott Laboratories,
C-0Y0Y,Accenture plc,
C-0009Y2,Wells Fargo & Company,
C-0009A2,Bristol-Myers Squibb Company,
C-0QZA,ConocoPhillips,
C-0KNT,Linde plc,
C-000960,The Walt Disney Company,
C-0K80,"NextEra Energy, Inc.",
C-00102B,Verizon Communications Inc.,
C-0R2H,Texas Instruments Incorporated,
C-0R2Y,Adobe Inc.,
C-000900,Amgen Inc.,
C-0QYJ,"Salesforce, Inc.",
C-0LG5,Toyota Motor Corporation,
C-0QYF,Comcast Corporation,
C-00560,Honeywell International Inc.,
C-0009W,Raytheon Technologies Corporation,
C-0M8V,Philip Morris International Inc.,
C-0067P,TotalEnergies SE,
C-0QKU,Royal Bank of Canada,
C-0HN3,BHP Group Limited,
C-0009X1,QUALCOMM Incorporated,
C-0023,AT&T Inc.,
C-0R2E,Union Pacific Corporation,
C-0HRS,CVS Health Corporation,
C-0JVQ,"Lowe's Companies, Inc.",
C-000730,"The Goldman Sachs Group, Inc.",
C-000C,International Business Machines Corporation,
C-0R08,"United Parcel Service, Inc.",
C-0009G1,"NIKE, Inc.",
C-0HG8,Elevance Health Inc.,
C-0Q18,Caterpillar Inc.,
C-0009W3,Oracle Corporation,
C-0014R8,"Netflix, Inc.",
C-02447,Alibaba Group Holding Limited,
C-0VL8,The Toronto-Dominion Bank,
C-000992,Intel Corporation,
C-0097L0,Unilever PLC,
C-0KYY,S&P Global Inc.,
C-0R2P,Deere & Company,
C-04663,Lockheed Martin Corporation,
C-CBA20,Commonwealth Bank of Australia,
C-0075W,Morgan Stanley,
C-0QZZ,"BlackRock, Inc.",
C-0L3I,The Charles Schwab Corporation,
C-00034,SAP SE,
C-5A,HSBC Holdings plc,
C-0009X,"Advanced Micro Devices, Inc.",
C-000954,Starbucks Corporation,
C-0KOD,"Prologis, Inc.",
C-0QYG,Medtronic plc,
C-0JCT,Intuit Inc.,
C-0HJI,"Automatic Data Processing, Inc.",
C-0HKP,BP p.l.c.,
C-0009V2,"Gilead Sciences, Inc.",
C-12990,AIA Group Limited,
C-0HQY,Cigna Corporation,
C-000544,Sanofi,
C-0HEU,American Tower Corporation,
C-000974,The Boeing Company,
C-0220D,Diageo plc,
C-000904,American Express Company,
C-0L83,Sony Group Corporation,
C-5003Q,Reliance Industries Limited,
C-0R9U,"PayPal Holdings, Inc.",
C-0R2L,"T-Mobile US, Inc.",
C-0129X1,Citigroup Inc.,
C-0008A4,Siemens Aktiengesellschaft,
