instrumentid,Water use,Climate change,Land Use Transformation,Terrestial ecotoxicity,Trop. Ozone Formation (eco),Freshwater ecotoxicity,Terrestrial acidification,Marine ecotoxicity,Freshwater eutrophication,Marine eutrophication
C-0000,61.89953988564042,25.971532878830978,33.9482415445919,42.2241672934851,23.66581002587979,36.34034680286982,37.9528598634932,21.52395275019506,0.0,19.011490704999968
C-000023,3.539975524663805,50.548357636053694,26.95704632494286,34.308551323784066,52.22593992758765,53.67633407531789,45.123063798289365,50.92687868010827,0.0,72.80756664262384
C-000042,6.733174768901858,16.056170934084022,0.0,8.509427060420274,16.223513691474622,13.581819575212716,14.64027121548041,11.317743956117777,0.0,27.58377006951203
C-0000C2,96.83891109831447,98.33632323368214,88.18288394775927,97.08974493871133,97.81502166776977,96.50798674748181,98.05863608034161,96.34216681337793,97.97998689505175,93.30321893755676
C-0000E,91.34887988658119,56.833788361995715,55.12040597571083,83.16045208918219,52.53319284673206,81.2811303278772,76.22157508906963,74.41658532162629,0.0,29.578106052748332
C-0000G5,50.41461222225395,54.64490809656706,63.29791021545847,60.85334727492341,48.21206169437103,60.60649000848413,56.63847279531788,57.77457459670041,0.0,67.49034197617908
C-0000H2,91.04664781370136,62.537011513974875,61.46062213877237,63.303543315717924,64.46134045225313,70.07963058025642,61.42094744155012,62.526616024164014,0.0,69.11845115614382
C-0000M,60.15315727884801,30.55644139398746,33.939130802658134,62.176432229913395,31.150890840775148,44.4144964636213,29.71104197003498,38.617152199584105,0.0,21.019916948479807
C-0000N,7.5260915097709224,15.304953909024741,0.0,9.842714087003813,14.216625731939875,12.149563846516138,12.857566669576093,10.150774702807475,0.0,29.605815025732973
C-0000N7,87.94769052253734,75.54813593844915,96.76113025879351,90.5673243857485,80.10113877304042,91.91698536071311,84.85573099293158,90.01652615311882,0.0,96.47472408472456
C-0000P4,14.336458218867573,45.472945097909715,0.0,27.789850532756915,40.925860595133244,36.14264138404276,36.45290176029368,31.395632462533086,0.0,56.40122209573523
C-0000X3,41.17446879594855,72.28672532266037,90.66786924314822,68.36089694216267,71.97249163954895,63.38772035087654,73.59631934870345,67.52643353463512,0.0,64.4488489773395
C-0000X4,38.19042889812611,65.53714411651248,92.23128734573025,70.46539218229908,63.64929744075963,60.60373092843303,67.92595867145968,77.81639495643496,0.0,61.91361423774357
C-00012,2.393576742221796,37.758243418766554,29.793433892207556,27.583933402853784,38.87993535243565,41.42151117563325,33.382974597077094,38.81855607526364,0.0,63.49886334291808
C-0001DQ4,65.75376433659349,43.35728678699906,0.0,40.95503752900761,50.03878435547008,14.548531755178756,51.77052808538313,31.70243147063135,0.0,8.982799396811469
C-0001F91,96.5158937952722,70.44772363456134,91.28728267366326,83.95338150385456,60.232140863793916,81.91570388099566,76.23709014478652,75.46714291834996,0.0,35.43087864759056
C-0001N0,49.016081507958305,89.64080292142665,74.74987952656403,75.69757266625898,93.70604492239379,92.17043319599935,87.9198898929126,91.19273726180377,97.36313172486251,92.5045469627417
C-0001XK5,59.604703736056464,45.37289473485004,44.50686849772382,40.20828867270595,50.279988226871644,43.67174112878352,47.886452610033956,40.41160652503467,0.0,53.31754423740329
C-0001YX3,89.08539513157098,58.460631532715546,93.89020226015577,88.84184467053768,57.52074745154242,89.6343312977736,73.91008884181988,85.75617546878004,0.0,50.507108545819776
C-00034,30.81852517233637,15.934938172393363,0.0,11.108946507578828,10.039681595492903,8.70002330794596,9.988597187762421,8.834178212978742,0.0,25.528413898776115
C-000351,88.5280733092857,80.56585695525213,62.260473134426086,77.11158897814651,82.7231198605835,73.22972256634388,79.24976091889116,82.4357143412487,0.0,58.58306596755606
C-000373,89.44525125543983,82.59886715657426,0.0,97.83680161211353,83.7330238240401,96.65699751238792,97.68956541198145,95.52769694050166,0.0,79.5270593908058
C-0003A5,96.05186291063875,73.90893760729375,90.22532530515748,88.70195231672872,70.66322299273277,89.13377535574801,78.79021545848666,83.82073701057286,0.0,60.040163738323685
C-0003F8,65.85969418584908,74.14187108859706,48.952218524898825,65.62415070076318,68.95192205130851,63.36101188236014,72.86136778090354,66.17079027156491,0.0,67.42819290217088
C-0003J3,13.511742274179941,47.22604548408417,0.0,29.947038653842366,39.278127224266946,35.03338740485117,35.35815612742258,29.0824229391427,0.0,60.61092215106739
C-0003L9,83.59744038122585,86.53825855638377,86.28785023401261,87.11444893988197,84.25861795103533,80.60843555326342,89.69129321674404,82.11398747372088,0.0,68.76742198596659
C-0003R2,51.698402417620656,53.96380455925651,49.060800547725314,32.63024810203412,47.45600160400223,31.647150871633905,47.22991598120594,32.22879149434953,0.0,44.51735617084005
C-0003U4,72.33291954678117,86.67457658083984,84.31858542102313,80.19630313747057,84.31604228166466,81.19307026631567,82.02463315996431,79.20035861006221,0.0,85.44362068744758
C-0004,88.96464069070161,94.48726808837823,88.24962535664079,82.64472745030605,91.68118604944854,85.8166755213212,87.57348620957426,84.14423467952733,0.0,89.40925330752306
